"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"730","숙박업","03_11_03_P","5050000","5050000-214-2024-00008","2024-07-03","","01","영업/정상","01","영업","","","","","","207.78","780-832","경상북도 경주시 감포읍 오류리 205-5","경상북도 경주시 감포읍 동해안로 2500","38124","감포 오션뷰","2025-02-12 13:19:08","U","2025-02-15 02:40:00","숙박업(생활)","426728.355819629","261252.808584332","숙박업(생활)","0","0","3","3","0","0","0","6","","","","임대","0","0","N",
"731","숙박업","03_11_03_P","5050000","5050000-201-2024-00004","2024-07-05","","01","영업/정상","01","영업","","","","","","97.67","780-947","경상북도 경주시 성동동 256-1","경상북도 경주시 동문로 36-3 (성동동)","38139","스테이 로피(읍성점)","2024-07-24 11:33:52","I","2024-07-26 00:14:27","숙박업 기타","399972.911035478","263118.435503977","숙박업 기타","3","0","1","3","0","0","0","2","","","","","0","0","N",
"732","숙박업","03_11_03_P","5050000","5050000-201-1994-00006","1994-07-28","","01","영업/정상","01","영업","","","","","054 7483800","2444.24","780-290","경상북도 경주시 신평동 242-16","경상북도 경주시 보문로 465-47 (신평동)","38116","한솔호텔","2023-09-11 11:54:03","U","2023-09-13 02:40:00","여관업","407045.760619704","262410.609130452","여관업","0","0","0","0","0","0","4","45","","","","","0","0","N",
"733","숙박업","03_11_03_P","5050000","5050000-201-1995-00027","1995-08-05","","01","영업/정상","01","영업","","","","","054 7750953","373.50","780-832","경상북도 경주시 감포읍 오류리 305","경상북도 경주시 감포읍 감포로 351-3","38125","까치 모텔","2021-01-29 11:27:53","U","2021-01-31 02:40:00","여관업","426771.022970663","260513.9456051","여관업","0","0","0","0","0","0","20","0","","","","","","","N",
"734","숙박업","03_11_03_P","5050000","5050000-201-1995-00039","1995-11-28","","01","영업/정상","01","영업","","","","","054 7742127","758.00","780-844","경상북도 경주시 양남면 읍천리 415번지","경상북도 경주시 양남면 동해안로 494","38219","쿠페","2018-01-12 16:31:53","I","2018-08-31 23:59:59","여관업","423872.232160095","245789.95321852","여관업","0","0","0","0","0","0","30","0","","","","","","","N",
"735","숙박업","03_11_03_P","5050000","5050000-201-1996-00021","1996-02-09","","01","영업/정상","01","영업","","","","","054 7741874","487.34","780-842","경상북도 경주시 양남면 나아리 415-18번지","경상북도 경주시 양남면 동해안로 652","38219","나아빌 모텔","2017-11-20 17:11:16","I","2018-08-31 23:59:59","여관업","423620.406733447","247278.394541357","여관업","4","1","3","4","0","0","18","0","","","","","","","N",
"736","숙박업","03_11_03_P","5050000","5050000-201-2020-00002","2020-01-02","","01","영업/정상","01","영업","","","","","","388.92","780-943","경상북도 경주시 성건동 373-33","경상북도 경주시 동성로 34, 나동 (성건동)","38156","1974 하우스","2024-03-18 13:34:35","U","2024-03-20 02:40:00","숙박업 기타","399054.300580093","262595.856440584","숙박업 기타","2","0","1","2","0","0","14","0","","","","","0","1","N",
"737","숙박업","03_11_03_P","5050000","5050000-214-2020-00002","2020-01-09","","01","영업/정상","01","영업","","","","","054  7412821","105.26","780-958","경상북도 경주시 황오동 207-3번지","경상북도 경주시 계림로106번길 4-2 (황오동)","38153","다온","2020-01-17 11:58:44","I","2020-01-19 00:23:25","숙박업(생활)","399957.002078896","262642.170516509","숙박업(생활)","3","0","2","3","0","0","0","2","","","","","1","1","N",
"738","숙박업","03_11_03_P","5050000","5050000-201-2020-00004","2020-03-18","","01","영업/정상","01","영업","","","","","054 771 0066","581.00","780-935","경상북도 경주시 동천동 801-2","경상북도 경주시 양정로 247, 5,6,7층 (동천동)","38103","크림호텔","2023-08-29 13:50:42","U","2023-08-31 02:40:00","여관업","400830.697251931","263911.302943054","여관업","7","0","5","7","0","0","0","17","","","","","0","1","N",
"739","숙박업","03_11_03_P","5050000","5050000-201-2020-00003","2020-01-31","","01","영업/정상","01","영업","","","","","054 777 0677","1429.84","780-932","경상북도 경주시 노서동 180-12","경상북도 경주시 태종로685번길 27 (노서동)","38157","더씨엘호텔","2024-11-14 16:05:42","U","2024-11-16 02:40:00","숙박업 기타","398949.879376585","262306.069840166","숙박업 기타","5","0","2","5","0","0","0","30","","","","","1","1","N",
"740","숙박업","03_11_03_P","5050000","5050000-214-2021-00005","2021-12-23","","01","영업/정상","01","영업","","","","","","817.62","780-400","경상북도 경주시 진현동 651-15","경상북도 경주시 불국신택지4길 25 (진현동)","38127","유유자적","2023-10-20 10:34:33","U","2023-10-22 02:40:00","숙박업(생활)","410182.027252853","256389.259525945","숙박업(생활)","0","0","1","2","0","0","0","28","","","","","0","0","N",
"741","숙박업","03_11_03_P","5050000","5050000-214-2023-00002","2023-05-09","","01","영업/정상","01","영업","","","","","","93.24","780-932","경상북도 경주시 노서동 176-9","경상북도 경주시 원효로26번길 7-12 (노서동)","38157","서소재","2023-06-09 18:31:56","U","2023-06-11 02:40:00","숙박업(생활)","399057.893140917","262362.230008766","숙박업(생활)","1","0","1","0","0","0","0","2","","","","","0","1","N",
"742","숙박업","03_11_03_P","5050000","5050000-201-2023-00003","2023-05-19","","01","영업/정상","01","영업","","","","","","0.00","780-958","경상북도 경주시 황오동 332-1 황리단스테이 호텔","경상북도 경주시 북정로 5-1, 황리단스테이 호텔 (황오동)","38159","황리단 스테이","2024-05-29 10:28:59","U","2024-06-01 02:40:00","숙박업 기타","400053.780757337","262419.57043978","숙박업 기타","0","0","0","0","0","0","0","16","","","","","0","0","N",
"743","숙박업","03_11_03_P","5050000","5050000-201-2023-00002","2023-05-01","","01","영업/정상","01","영업","","","","","","266.52","780-932","경상북도 경주시 노서동 177-3","경상북도 경주시 원효로26번길 7-15 (노서동)","38157","소담","2023-05-16 11:11:10","U","2023-05-18 02:40:00","숙박업 기타","399087.448338832","262407.532226159","숙박업 기타","4","0","2","3","0","0","0","8","","","","","1","0","N",
"744","숙박업","03_11_03_P","5050000","5050000-214-2024-00004","2024-04-01","","01","영업/정상","01","영업","","","","","","297.75","780-834","경상북도 경주시 감포읍 팔조리 125-6","경상북도 경주시 감포읍 경감로 2807-16, 2~3층","38123","블루픽셀 스테이","2025-02-14 13:22:01","U","2025-02-16 02:40:00","숙박업(생활)","423641.868087487","256741.509846963","숙박업(생활)","3","0","2","3","0","0","0","4","","","","","0","0","N",
"745","숙박업","03_11_03_P","5050000","5050000-214-2024-00005","2024-04-04","","01","영업/정상","01","영업","","","","","","73.37","780-932","경상북도 경주시 노서동 176-11","경상북도 경주시 금성로259번길 30-1 (노서동)","38157","파밀리아","2024-06-12 14:32:12","U","2024-06-15 02:40:00","숙박업(생활)","399052.299946787","262332.105739678","숙박업(생활)","0","0","0","0","0","0","0","2","","","","","0","0","N",
"746","숙박업","03_11_03_P","5050000","5050000-214-2024-00003","2024-03-27","","01","영업/정상","01","영업","","","","","","56.52","780-947","경상북도 경주시 성동동 223-4","경상북도 경주시 북문로 114-8, 1층 (성동동)","38139","성동가가","2024-06-12 13:19:05","U","2024-06-15 02:40:00","숙박업(생활)","400023.607486213","263301.167737635","숙박업(생활)","0","0","0","0","0","0","0","1","","","","","0","0","N",
"747","숙박업","03_11_03_P","5050000","5050000-201-2018-00006","2018-09-04","","01","영업/정상","01","영업","","","","","054 741 3000","7404.38","780-833","경상북도 경주시 감포읍 나정리 681","경상북도 경주시 감포읍 동해안로 1819-21","38123","(주)베스트웨스턴플러스경주","2021-12-01 15:49:11","U","2021-12-03 02:40:00","일반호텔","425376.345531433","255166.045072685","일반호텔","3","3","1","3","0","0","0","170","","","","","","","N",
"748","숙박업","03_11_03_P","5050000","5050000-201-2020-00007","2020-06-18","","01","영업/정상","01","영업","","","","","","286.40","780-932","경상북도 경주시 노서동 170-11","경상북도 경주시 태종로 691-12 (노서동)","38157","도토리 하우스","2020-07-06 11:46:37","U","2020-07-08 02:40:00","여관업","399068.682400658","262100.314616696","여관업","2","0","1","2","0","0","0","13","","","","","1","1","N",
"749","숙박업","03_11_03_P","5050000","5050000-214-2020-00003","2020-05-19","","01","영업/정상","01","영업","","","","","","92.56","780-400","경상북도 경주시 진현동 611-76","경상북도 경주시 불국신택지1길 12 (진현동)","38127","불국사 Dream 하우스","2024-10-21 16:47:47","U","2024-10-23 02:40:00","숙박업(생활)","410233.017062699","256194.289644984","숙박업(생활)","1","0","1","0","0","0","0","3","","","","자가","1","0","N",
"750","숙박업","03_11_03_P","5050000","5050000-201-2020-00006","2020-04-28","","01","영업/정상","01","영업","","","","","","550.80","780-932","경상북도 경주시 노서동 124-9번지","경상북도 경주시 태종로711번길 14 (노서동)","38157","동행","2020-05-14 11:11:44","U","2020-05-16 02:40:00","여관업","399255.447797001","262231.20629685","여관업","3","0","0","0","0","0","0","14","","","","","0","0","N",
"751","숙박업","03_11_03_P","5050000","5050000-214-2021-00004","2021-11-22","","01","영업/정상","01","영업","","","","","","217.05","780-040","경상북도 경주시 동부동 113-10","경상북도 경주시 중앙로 58-8 (동부동)","38145","미도주택","2021-12-21 16:29:57","U","2021-12-23 02:40:00","숙박업(생활)","399795.601863512","262783.267465868","숙박업(생활)","0","0","1","2","0","0","0","2","","","","","0","0","N",
"752","숙박업","03_11_03_P","5050000","5050000-214-2021-00003","2021-09-30","","01","영업/정상","01","영업","","","","","054 741 5000","4571.09","780-833","경상북도 경주시 감포읍 대본리 379","경상북도 경주시 감포읍 동해안로 1594","38123","엘라포니시 풀빌라&호텔","2025-02-14 13:25:26","U","2025-02-16 02:40:00","휴양콘도미니엄업","425423.428926716","253111.298983518","휴양콘도미니엄업","3","1","1","3","1","1","0","52","","","","자가","0","0","N",
"753","숙박업","03_11_03_P","5050000","5050000-201-2023-00001","2023-02-22","","01","영업/정상","01","영업","","","","","","642.77","780-973","경상북도 경주시 충효동 2971-1","경상북도 경주시 충효중앙길 71 (충효동)","38061","제이아이 부띠끄호텔","2024-09-10 18:13:01","U","2024-09-12 02:40:00","일반호텔","397177.84258783","262591.954127088","일반호텔","5","1","2","5","0","0","0","22","","","","","0","1","N",
"754","숙박업","03_11_03_P","5050000","5050000-214-2023-00001","2023-03-22","","01","영업/정상","01","영업","","","","","","72.86","780-932","경상북도 경주시 노서동 162-28","경상북도 경주시 금성로247번길 22, 1층 (노서동)","38157","유에이치스위트 더 경주","2023-04-27 15:12:30","U","2023-04-29 02:40:00","숙박업(생활)","399154.251491026","262214.099504868","숙박업(생활)","4","1","1","1","0","0","0","1","","","","","0","1","N",
"755","숙박업","03_11_03_P","5050000","5050000-201-2024-00002","2024-01-30","","01","영업/정상","01","영업","","","","","","616.60","780-932","경상북도 경주시 노서동 178-8","경상북도 경주시 원효로26번길 6-1, 2~4층 (노서동)","38157","제이미룸","2024-02-20 09:22:18","U","2024-02-22 02:40:00","숙박업 기타","399009.818901023","262419.962450216","숙박업 기타","4","0","2","4","0","0","0","12","","","","자가","0","0","N",
"756","숙박업","03_11_03_P","5050000","5050000-214-2024-00002","2024-02-26","","01","영업/정상","01","영업","","","","","","217.80","780-020","경상북도 경주시 노동동 140-3","경상북도 경주시 계림로 109, 2,3층 (노동동)","38154","황남 inn","2025-02-14 13:23:13","U","2025-02-16 02:40:00","숙박업(생활)","399908.030670941","262687.015028004","숙박업(생활)","0","0","0","0","0","0","0","5","","","","","0","0","N",
"757","숙박업","03_11_03_P","5050000","5050000-201-2024-00003","2024-06-24","","01","영업/정상","01","영업","","","","","","41.04","780-831","경상북도 경주시 감포읍 감포리 505-30","경상북도 경주시 감포읍 감포로2길 81-1, 2층","38125","경마루 스테이","2024-06-24 10:03:51","U","2024-06-26 02:40:00","여관업","426296.333046466","258797.75478611","여관업","0","0","0","0","0","0","0","1","","","","","0","0","N",
"758","숙박업","03_11_03_P","5050000","5050000-201-2018-00005","2018-08-07","","01","영업/정상","01","영업","","","","","054 777 6614","167.64","780-943","경상북도 경주시 성건동 352-21","경상북도 경주시 화랑로38번길 12 (성건동)","38156","첨성대하우스","2023-04-07 12:04:11","U","2023-04-09 02:40:00","여관업","399113.846851785","262640.836306223","여관업","2","0","1","2","0","0","0","6","","","","","","1","N",
"759","숙박업","03_11_03_P","5050000","5050000-214-2020-00004","2020-06-22","","01","영업/정상","01","영업","","","","","","315.21","780-932","경상북도 경주시 노서동 124-17","경상북도 경주시 태종로711번길 20 (노서동)","38157","PICA PICA","2021-09-16 16:11:00","U","2021-09-18 02:40:00","숙박업(생활)","399248.214331523","262290.612268004","숙박업(생활)","4","0","2","4","0","0","0","7","","","","","0","0","N",
"760","숙박업","03_11_03_P","5050000","5050000-214-2020-00006","2020-08-04","","01","영업/정상","01","영업","","","","","","771.09","780-833","경상북도 경주시 감포읍 대본리 43-4","경상북도 경주시 감포읍 동해안로 1748","38123","더","2021-04-16 15:49:53","U","2021-04-18 02:40:00","숙박업(생활)","425453.331610904","254534.44155507","숙박업(생활)","4","1","2","4","0","0","0","9","","","","자가","0","0","N",
"761","숙박업","03_11_03_P","5050000","5050000-201-2020-00008","2020-07-20","","01","영업/정상","01","영업","","","","","054 774 6000","1358.72","780-875","경상북도 경주시 천북면 화산리 834-1","경상북도 경주시 천북면 천강로 295-60","38035","케이호텔","2025-02-14 13:24:23","U","2025-02-16 02:40:00","관광호텔","405744.14369862","270795.189181982","관광호텔","3","1","2","3","0","0","0","31","","","","","0","0","N",
"762","숙박업","03_11_03_P","5050000","5050000-214-2017-00002","2017-07-27","","01","영업/정상","01","영업","","","","","054 242 3400","1928.16","780-290","경상북도 경주시 신평동 242-17","경상북도 경주시 보문로 465-43 (신평동)","38116","드라마 2020","2024-09-10 18:14:40","U","2024-09-12 02:40:00","숙박업(생활)","407082.295242113","262416.09916798","숙박업(생활)","4","0","1","4","0","0","0","36","","","","","0","0","N",
"763","숙박업","03_11_03_P","5050000","5050000-201-2021-00003","2021-09-16","","01","영업/정상","01","영업","","","","","","289.45","780-400","경상북도 경주시 진현동 611-97 서라벌유스텔","경상북도 경주시 진현로1길 27 (진현동)","38127","스테이플레도(Stay Pledo)","2021-12-20 10:37:03","U","2021-12-22 02:40:00","숙박업 기타","410211.780342405","256239.322966958","숙박업 기타","0","0","0","0","0","0","9","0","","","","","0","0","N",
"764","숙박업","03_11_03_P","5050000","5050000-201-2021-00002","2021-09-01","","01","영업/정상","01","영업","","","","","054 624 2600","2990.80","780-400","경상북도 경주시 진현동 700-13","경상북도 경주시 진현로2길 11 (진현동)","38127","경주HAvenue경주불국사점","2024-01-02 15:30:51","U","2024-01-04 02:40:00","숙박업 기타","410018.413085068","256191.965152769","숙박업 기타","5","0","1","5","0","0","0","36","","","","","0","0","N",
"765","숙박업","03_11_03_P","5050000","5050000-214-2021-00002","2021-05-07","","01","영업/정상","01","영업","","","","","","327.27","780-831","경상북도 경주시 감포읍 감포리 504-16","경상북도 경주시 감포읍 감포로6길 14-1, 2~3층","38125","파도(PADO stay)","2024-09-23 14:29:49","U","2024-09-25 02:40:00","숙박업(생활)","426258.729196836","258899.909020529","숙박업(생활)","3","0","2","3","0","0","0","5","","","","","0","0","N",
"766","숙박업","03_11_03_P","5050000","5050000-214-2020-00008","2020-04-14","","01","영업/정상","01","영업","","","","","054 624 7799","979.55","780-020","경상북도 경주시 노동동 54-2","경상북도 경주시 원효로 104-6, 1,2층 (노동동)","38158","봉황맨션","2021-12-03 17:04:08","U","2021-12-05 02:40:00","숙박업(생활)","399797.039327965","262421.109134819","숙박업(생활)","2","0","1","2","0","0","0","27","","","","","0","1","N",
"767","숙박업","03_11_03_P","5050000","5050000-214-2018-00002","2018-09-17","","01","영업/정상","01","영업","","","","","054 624 1007","2977.07","780-833","경상북도 경주시 감포읍 나정리 산 42-2번지","경상북도 경주시 감포읍 동해안로 1819-23, 에스지빌라앤호텔","38123","(주)에스지빌라앤호텔","2018-09-28 10:28:33","U","2018-09-28 23:59:59","숙박업(생활)","425291.596858076","255167.280898553","숙박업(생활)","3","1","1","3","0","0","0","15","","","","자가","","1","N",
"768","숙박업","03_11_03_P","5050000","5050000-201-2022-00002","2022-10-05","","01","영업/정상","01","영업","","","","","054774 0100","1434.89","780-931","경상북도 경주시 노서동 27-1","경상북도 경주시 봉황로51번길 11 (노서동)","38155","호텔 팰리스","2023-08-23 11:55:09","U","2023-08-25 02:40:00","일반호텔","399503.379203329","262702.15328135","일반호텔","7","1","1","7","0","0","0","35","","","","","0","1","N",
"769","숙박업","03_11_03_P","5050000","5050000-214-2021-00001","2021-02-15","","01","영업/정상","01","영업","","","","","","50.40","780-400","경상북도 경주시 진현동 611-77","경상북도 경주시 진현로1길 26, 1층 (진현동)","38127","해피하우스","2021-03-12 14:49:05","U","2021-03-14 02:40:00","숙박업(생활)","410223.621657718","256202.640473453","숙박업(생활)","1","0","1","0","0","0","1","0","","","","","","","N",
"770","숙박업","03_11_03_P","5050000","5050000-214-2003-00003","2003-04-17","","01","영업/정상","01","영업","","","","","054 7730777","465.59","780-843","경상북도 경주시 양남면 수렴리 489-1","경상북도 경주시 양남면 양남로 44","38220","해담은 호텔","2024-10-21 16:42:39","U","2024-10-23 02:40:00","숙박업(생활)","421915.643048399","242719.000566024","숙박업(생활)","5","0","3","5","0","0","0","15","","","","","0","0","N",
"771","숙박업","03_11_03_P","5050000","5050000-201-2021-00001","2021-03-10","","01","영업/정상","01","영업","","","","","","232.88","780-882","경상북도 경주시 산내면 대현리 1974, 1975(B동~J동)","경상북도 경주시 산내면 문복로 758","38187","월계수","2024-01-11 10:42:38","U","2024-01-13 02:40:00","숙박업 기타","386225.509146956","246093.837919741","숙박업 기타","1","0","1","0","0","0","10","0","","","","","0","0","N",
"772","숙박업","03_11_03_P","5050000","5050000-201-2025-00002","2025-03-17","","01","영업/정상","01","영업","","","","","","0.00","780-932","경상북도 경주시 노서동 132-14","경상북도 경주시 금성로259번길 16, 1층 (노서동)","38157","마마스테이","2025-03-17 13:47:36","I","2025-03-19 00:10:34","숙박업 기타","399194.428946812","262330.967730866","숙박업 기타","0","0","0","0","0","0","0","0","","","","","0","0","N",
"773","숙박업","03_11_03_P","5050000","5050000-214-2025-00002","2025-03-04","","01","영업/정상","01","영업","","","","","","0.00","780-060","경상북도 경주시 서부동 151-2","경상북도 경주시 봉황로 61, 1층 (서부동)","38144","하야네","2025-03-04 17:29:45","I","2025-03-06 00:10:58","숙박업(생활)","399594.170732945","262795.884108888","숙박업(생활)","0","0","0","0","0","0","0","0","","","","","0","0","N",
"774","숙박업","03_11_03_P","5050000","5050000-214-2025-00004","2025-03-06","","01","영업/정상","01","영업","","","","","","0.00","780-931","경상북도 경주시 노서동 54-4","경상북도 경주시 봉황로 39-1 (노서동)","38155","경주숙소 빌라실라 황리단길점","2025-03-06 10:36:37","I","2025-03-08 00:10:36","숙박업(생활)","399587.843234467","262576.313206566","숙박업(생활)","0","0","0","0","0","0","0","0","","","","","0","0","N",
"775","숙박업","03_11_03_P","5050000","5050000-201-2025-00001","2025-03-11","","01","영업/정상","01","영업","","","","","054 7773651","0.00","780-932","경상북도 경주시 노서동 179-4","경상북도 경주시 태종로685번길 33, 2-3층 (노서동)","38157","경주 로서(Roseo) 스테이","2025-03-26 16:43:22","U","2025-03-28 02:40:00","숙박업 기타","398949.871789871","262366.340876027","숙박업 기타","0","0","0","0","0","0","0","0","","","","","0","0","N",
"776","숙박업","03_11_03_P","5050000","5050000-214-2025-00005","2025-03-10","","01","영업/정상","01","영업","","","","","","91.01","780-958","경상북도 경주시 황오동 252-36","경상북도 경주시 동성로 131-12 (황오동)","38153","돌담애","2025-03-13 14:01:22","U","2025-03-15 02:40:00","숙박업(생활)","400052.481615092","262663.40797587","숙박업(생활)","1","0","1","1","0","0","0","1","","","","자가","0","0","N",
"777","숙박업","03_11_03_P","5050000","5050000-214-2025-00006","2025-03-10","","01","영업/정상","01","영업","","","","","","61.36","780-947","경상북도 경주시 성동동 255","경상북도 경주시 동문로 36-7 (성동동)","38139","힐링하우스","2025-03-13 13:50:18","U","2025-03-15 02:40:00","숙박업(생활)","399980.922291739","263103.821693537","숙박업(생활)","1","0","1","1","0","0","0","1","","","","자가","0","0","N",
"778","숙박업","03_11_03_P","5050000","5050000-214-2025-00003","2025-03-05","","01","영업/정상","01","영업","","","","","","0.00","780-060","경상북도 경주시 서부동 151-2","경상북도 경주시 봉황로 61, 2층 (서부동)","38144","올리브 인","2025-03-05 17:05:35","I","2025-03-07 00:10:36","숙박업(생활)","399594.170732945","262795.884108888","숙박업(생활)","0","0","0","0","0","0","0","0","","","","","0","0","N",
"779","숙박업","03_11_03_P","5050000","5050000-201-2022-00001","2022-08-25","","01","영업/정상","01","영업","","","","","15772913","2986.32","780-400","경상북도 경주시 진현동 63-63 경주제일유스호스텔","경상북도 경주시 불국신택지3길 34 (진현동)","38127","이제 경주","2025-01-23 11:56:28","U","2025-01-25 02:40:00","일반호텔","410139.158618165","256413.948042351","일반호텔","4","1","1","4","0","0","0","31","","","","","0","1","N",
"780","숙박업","03_11_03_P","5050000","5050000-214-2022-00002","2022-08-03","","01","영업/정상","01","영업","","","","","","194.11","780-931","경상북도 경주시 노서동 78-2","경상북도 경주시 봉황로 33-2, 2-3층 (노서동)","38155","퍼즈하우스","2024-04-22 17:43:38","U","2024-04-24 02:40:00","숙박업(생활)","399596.318013367","262527.708601205","숙박업(생활)","3","0","3","0","0","0","0","3","","","","","1","0","N",
"781","숙박업","03_11_03_P","5050000","5050000-214-2023-00007","2023-12-11","","01","영업/정상","01","영업","","","","","054 701 2388","0.00","780-832","경상북도 경주시 감포읍 오류리 566-1","경상북도 경주시 감포읍 감포로 250","38125","경주 에스앤비풀빌라 호스텔","2025-02-13 13:54:03","U","2025-02-15 02:40:00","숙박업(생활)","426783.560147995","259593.019168889","숙박업(생활)","4","1","2","4","0","0","0","8","","","","자가","0","0","N",
"782","숙박업","03_11_03_P","5050000","5050000-214-2023-00008","2023-12-27","","01","영업/정상","01","영업","","","","","","0.00","780-020","경상북도 경주시 노동동 129-14","경상북도 경주시 중앙로36번길 8-1 (노동동)","38154","아담다락","2024-05-29 11:00:43","U","2024-06-01 02:40:00","숙박업(생활)","399814.794687972","262569.581084018","숙박업(생활)","0","0","0","0","0","0","0","2","","","","","0","0","N",
"783","숙박업","03_11_03_P","5050000","5050000-201-2023-00007","2023-12-12","","01","영업/정상","01","영업","","","","","","0.00","780-832","경상북도 경주시 감포읍 오류리 151-10","경상북도 경주시 감포읍 동해안로 2626","38124","샵앤플랫 호텔","2025-02-14 13:26:27","U","2025-02-16 02:40:00","관광호텔","427208.538229523","262290.893467267","관광호텔","0","0","0","0","0","0","0","30","","","","","0","0","N",
"784","숙박업","03_11_03_P","5050000","5050000-201-2018-00007","2018-11-07","","01","영업/정상","01","영업","","","","","","782.27","780-400","경상북도 경주시 진현동 700-34","경상북도 경주시 진현로3길 8 (진현동)","38127","엠티엠","2025-02-26 16:02:31","U","2025-03-01 02:40:00","일반호텔","409923.711147902","256243.670790979","일반호텔","3","0","2","2","0","0","0","16","","","","","0","0","N",
"785","숙박업","03_11_03_P","5050000","5050000-201-2020-00009","2020-12-30","","01","영업/정상","01","영업","","","","","054 775 3399","329.65","780-958","경상북도 경주시 황오동 329-4","경상북도 경주시 북정로 3, 3층 (황오동)","38159","금리단 STAY","2025-03-14 15:16:09","U","2025-03-16 02:40:00","숙박업 기타","400058.614019765","262393.709892155","숙박업 기타","4","1","3","0","0","0","0","12","","","","","0","0","N",
"786","숙박업","03_11_03_P","5050000","5050000-214-2022-00001","2022-06-14","","01","영업/정상","01","영업","","","","","","133.04","780-947","경상북도 경주시 성동동 256","경상북도 경주시 동문로 36-4, 2~3층 (성동동)","38139","스테이가온 Stay Gaon","2022-06-28 17:50:56","U","2022-06-30 02:40:00","숙박업(생활)","399971.076764974","263104.090104662","숙박업(생활)","5","0","2","3","0","0","0","2","","","","","0","0","N",
"787","숙박업","03_11_03_P","5050000","5050000-214-2023-00005","2023-11-16","","01","영업/정상","01","영업","","","","","","130.95","780-942","경상북도 경주시 성건동 304-3","경상북도 경주시 금성로319번길 26-1 (성건동)","38143","스테이가온해","2023-12-06 09:12:49","U","2023-12-09 02:40:00","숙박업(생활)","399057.156906247","262951.023006017","숙박업(생활)","2","0","1","2","0","0","0","1","","","","자가","0","0","N",
"788","숙박업","03_11_03_P","5050000","5050000-214-2023-00004","2023-09-19","","01","영업/정상","01","영업","","","","","","122.26","780-942","경상북도 경주시 성건동 205-2","경상북도 경주시 금성로319번길 12-2, 1층 (성건동)","38143","포렛","2023-10-02 07:38:40","U","2023-10-04 02:40:00","숙박업(생활)","399213.801022205","262938.892777472","숙박업(생활)","2","0","1","1","0","0","0","2","","","","자가","0","0","N",
"789","숙박업","03_11_03_P","5050000","5050000-201-2023-00006","2023-11-09","","01","영업/정상","01","영업","","","","","","482.00","780-400","경상북도 경주시 진현동 651-19 화랑유스타운","경상북도 경주시 불국신택지2길 22, 206, 210, 306~309, 313, 314호 (진현동)","38127","라온제나","2024-07-21 20:02:55","U","2024-07-23 02:40:00","숙박업 기타","410186.795691049","256309.202959358","숙박업 기타","3","0","2","3","0","0","3","5","","","","","0","0","N",
"790","숙박업","03_11_03_P","5050000","5050000-214-2023-00006","2023-11-24","","01","영업/정상","01","영업","","","","","","542.88","780-931","경상북도 경주시 노서동 15-1","경상북도 경주시 동성로 83-1, 2,3층 (노서동)","38155","동성로스테이","2024-01-26 10:57:09","U","2024-01-28 02:40:00","숙박업(생활)","399571.483358737","262629.968352203","숙박업(생활)","3","0","2","3","0","0","0","5","","","","임대","0","0","N",
"791","숙박업","03_11_03_P","5050000","5050000-201-2024-00007","2024-11-19","","01","영업/정상","01","영업","","","","","","1164.47","780-931","경상북도 경주시 노서동 19-1","경상북도 경주시 봉황로51번길 5, 2~6층 (노서동)","38155","호텔 옹기","2024-12-13 11:27:16","U","2024-12-15 02:40:00","숙박업 기타","399553.194153122","262695.160083267","숙박업 기타","7","1","2","6","0","0","0","29","","","","임대","1","0","N",
"792","숙박업","03_11_03_P","5050000","5050000-214-2024-00013","2024-11-29","","01","영업/정상","01","영업","","","","","","0.00","780-943","경상북도 경주시 성건동 352-11","경상북도 경주시 화랑로28번길 7-28, 1층 (성건동)","38156","화랑","2024-11-29 16:57:30","I","2024-12-01 00:12:10","숙박업(생활)","399101.247627176","262655.089885375","숙박업(생활)","0","0","0","0","0","0","0","0","","","","","0","0","N",
"793","숙박업","03_11_03_P","5050000","5050000-214-2024-00012","2024-11-18","","01","영업/정상","01","영업","","","","","","0.00","780-943","경상북도 경주시 성건동 352-13","경상북도 경주시 화랑로28번길 7-14 (성건동)","38156","스테이, 이루라","2024-11-18 15:00:19","I","2024-11-20 00:11:59","숙박업(생활)","399072.003669344","262655.261008757","숙박업(생활)","1","0","1","1","0","0","0","0","","","","임대","0","0","N",
"794","숙박업","03_11_03_P","5050000","5050000-214-2025-00001","2025-01-06","","01","영업/정상","01","영업","","","","","","209.82","780-020","경상북도 경주시 노동동 215-1","경상북도 경주시 봉황로 38-4, 1~2층 (노동동)","38154","거닐 거닐","2025-01-16 17:04:46","U","2025-01-18 02:40:00","숙박업(생활)","399655.094733685","262554.414191326","숙박업(생활)","3","0","1","2","0","0","0","6","","","","자가","2","0","N",
